day,home team,away team
21,Golden State Warriors,Memphis Grizzlies
21,LA Clippers,Minnesota Timberwolves
22,Charlotte Hornets,Atlanta Hawks
22,Dallas Mavericks,Washington Wizards
22,Phoenix Suns,Brooklyn Nets
22,Portland Trail Blazers,Milwaukee Bucks
23,Cleveland Cavaliers,Oklahoma City Thunder
23,Orlando Magic,Detroit Pistons
23,Atlanta Hawks,New York Knicks
23,Miami Heat,San Antonio Spurs
23,Indiana Pacers,Philadelphia 76ers
23,Memphis Grizzlies,Denver Nuggets
23,New Orleans Pelicans,Chicago Bulls
23,Utah Jazz,Dallas Mavericks
23,Sacramento Kings,Toronto Raptors
23,Los Angeles Lakers,Minnesota Timberwolves
24,Oklahoma City Thunder,Houston Rockets
24,Phoenix Suns,Boston Celtics
24,Portland Trail Blazers,LA Clippers
24,Golden State Warriors,Milwaukee Bucks
25,Orlando Magic,Washington Wizards
25,Philadelphia 76ers,Charlotte Hornets
25,Atlanta Hawks,Detroit Pistons
25,Miami Heat,Indiana Pacers
25,Denver Nuggets,Brooklyn Nets
25,Utah Jazz,Boston Celtics
25,Sacramento Kings,Minnesota Timberwolves
26,Toronto Raptors,New York Knicks
26,LA Clippers,Milwaukee Bucks
26,New Orleans Pelicans,Phoenix Suns
26,Miami Heat,Washington Wizards
26,Chicago Bulls,Cleveland Cavaliers
26,Memphis Grizzlies,Philadelphia 76ers
26,San Antonio Spurs,Houston Rockets
26,Golden State Warriors,Brooklyn Nets
26,Dallas Mavericks,Oklahoma City Thunder
26,Sacramento Kings,Los Angeles Lakers
27,Detroit Pistons,Charlotte Hornets
27,Houston Rockets,Indiana Pacers
27,New York Knicks,Orlando Magic
27,Denver Nuggets,Milwaukee Bucks
27,Portland Trail Blazers,Boston Celtics
27,Los Angeles Lakers,Atlanta Hawks
28,Washington Wizards,Orlando Magic
28,Miami Heat,Philadelphia 76ers
28,Toronto Raptors,New Orleans Pelicans
28,Chicago Bulls,Dallas Mavericks
28,Memphis Grizzlies,Utah Jazz
28,Minnesota Timberwolves,Brooklyn Nets
28,Oklahoma City Thunder,Phoenix Suns
28,Sacramento Kings,San Antonio Spurs
28,LA Clippers,Golden State Warriors
29,Cleveland Cavaliers,Charlotte Hornets
29,Denver Nuggets,Houston Rockets
29,Golden State Warriors,Atlanta Hawks
30,Orlando Magic,Philadelphia 76ers
30,Washington Wizards,Cleveland Cavaliers
30,Boston Celtics,Chicago Bulls
30,Brooklyn Nets,Miami Heat
30,Toronto Raptors,Detroit Pistons
30,Milwaukee Bucks,Memphis Grizzlies
30,Minnesota Timberwolves,New Orleans Pelicans
30,Oklahoma City Thunder,New York Knicks
30,Dallas Mavericks,Utah Jazz
30,Phoenix Suns,San Antonio Spurs
30,Los Angeles Lakers,Portland Trail Blazers
31,Houston Rockets,Golden State Warriors
31,Denver Nuggets,Atlanta Hawks
31,LA Clippers,San Antonio Spurs
32,Boston Celtics,Toronto Raptors
32,Indiana Pacers,Miami Heat
32,Philadelphia 76ers,Utah Jazz
32,Washington Wizards,Brooklyn Nets
32,Memphis Grizzlies,Sacramento Kings
32,Minnesota Timberwolves,Portland Trail Blazers
32,New Orleans Pelicans,New York Knicks
32,Milwaukee Bucks,Chicago Bulls
33,Brooklyn Nets,LA Clippers
33,Charlotte Hornets,Philadelphia 76ers
