day,home team,away team
43,Memphis Grizzlies,Toronto Raptors
43,Detroit Pistons,New York Knicks
43,Denver Nuggets,Los Angeles Lakers
43,Miami Heat,Atlanta Hawks
43,Phoenix Suns,Indiana Pacers
44,Portland Trail Blazers,Orlando Magic
44,LA Clippers,Phoenix Suns
44,Philadelphia 76ers,New York Knicks
44,New Orleans Pelicans,Washington Wizards
44,Houston Rockets,Dallas Mavericks
44,Charlotte Hornets,Atlanta Hawks
44,Brooklyn Nets,Utah Jazz
44,Milwaukee Bucks,Chicago Bulls
44,San Antonio Spurs,Minnesota Timberwolves
44,Oklahoma City Thunder,Cleveland Cavaliers
45,Toronto Raptors,Golden State Warriors
45,Sacramento Kings,LA Clippers
45,Los Angeles Lakers,Indiana Pacers
46,Portland Trail Blazers,Denver Nuggets
46,Los Angeles Lakers,Dallas Mavericks
46,Philadelphia 76ers,Washington Wizards
46,Oklahoma City Thunder,Atlanta Hawks
46,Miami Heat,New Orleans Pelicans
46,Charlotte Hornets,Utah Jazz
46,Detroit Pistons,Chicago Bulls
46,Phoenix Suns,Orlando Magic
46,Boston Celtics,Cleveland Cavaliers
46,San Antonio Spurs,Houston Rockets
46,Brooklyn Nets,Memphis Grizzlies
47,Toronto Raptors,Cleveland Cavaliers
47,New York Knicks,Milwaukee Bucks
47,Washington Wizards,Brooklyn Nets
47,Sacramento Kings,Indiana Pacers
47,Houston Rockets,Chicago Bulls
47,Minnesota Timberwolves,Boston Celtics
47,Detroit Pistons,Golden State Warriors
48,Portland Trail Blazers,San Antonio Spurs
48,Dallas Mavericks,LA Clippers
48,Los Angeles Lakers,Phoenix Suns
48,Charlotte Hornets,New Orleans Pelicans
48,Miami Heat,Utah Jazz
48,Philadelphia 76ers,Memphis Grizzlies
49,Toronto Raptors,Denver Nuggets
49,New Orleans Pelicans,LA Clippers
49,New York Knicks,Washington Wizards
49,Atlanta Hawks,Golden State Warriors
49,Minnesota Timberwolves,Houston Rockets
49,Brooklyn Nets,Cleveland Cavaliers
49,Detroit Pistons,Oklahoma City Thunder
50,Dallas Mavericks,Portland Trail Blazers
50,Phoenix Suns,Sacramento Kings
50,Utah Jazz,San Antonio Spurs
50,Indiana Pacers,Chicago Bulls
50,Miami Heat,Orlando Magic
51,Toronto Raptors,Philadelphia 76ers
51,Memphis Grizzlies,LA Clippers
51,Los Angeles Lakers,San Antonio Spurs
51,Atlanta Hawks,Washington Wizards
51,Dallas Mavericks,New Orleans Pelicans
51,Minnesota Timberwolves,Charlotte Hornets
51,Orlando Magic,Denver Nuggets
51,Milwaukee Bucks,Detroit Pistons
51,Brooklyn Nets,Oklahoma City Thunder
51,Cleveland Cavaliers,Golden State Warriors
